brand_name,article_name,gender,fitting_type,label_size,standard_size,chest_size,shoulder_width,front_length,waist,neck,sleeve_length,unit
AEROPOSTALE,shirt,Male,Regular Fit,XS,X-Small,36,18,29,,,,inches
AEROPOSTALE,shirt,Male,Regular Fit,S,Small,38,18,30,,,,inches
AEROPOSTALE,shirt,Male,Regular Fit,M,Medium,40,20,30,,,,inches
AEROPOSTALE,shirt,Male,Regular Fit,L,Large,44,22,31,,,,inches
AEROPOSTALE,shirt,Male,Regular Fit,XL,X-Large,46,22,31,,,,inches
AEROPOSTALE,shirt,Male,Regular Fit,XXL,XX-Large,50,22,32,,,,inches
Amazon Brand - House & Shields,shirt,Male,,S,S,,,,28-30,,,inches
Amazon Brand - House & Shields,shirt,Male,,M,M,,,,32-34,,,inches
Amazon Brand - House & Shields,shirt,Male,,L,L,,,,36-38,,,inches
Amazon Brand - House & Shields,shirt,Male,,XL,XL,,,,40-42,,,inches
Amazon Brand - House & Shields,shirt,Male,,XXL,XXL,,,,44-46,,,inches
BEING FAB,shirt,Male,,S,Small,38,,,38,,,inches
BEING FAB,shirt,Male,,M,Medium,40,,,40,,,inches
BEING FAB,shirt,Male,,L,Large,42,,,42,,,inches
BEING FAB,shirt,Male,,XL,X-Large,44,,,44,,,inches
BEING FAB,shirt,Male,,XXL,2X-Large,46,,,46,,,inches
BEING FAB,shirt,Male,,XXXL,3X-Large,48,,,48,,,inches
BEING FAB,shirt,Male,,XXXXL,4X-Large,50,,,50,,,inches
